,Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Country
356,&Open,Dublin,Marketing,9.0,0.09,2022-11-17 00:00:00,https://www.irishtimes.com/technology/2022/11/17/gifting-platform-open-to-cut-nine-roles-from-global-workforce/,35.0,Ireland
815,10X Genomics,SF Bay Area,Healthcare,100.0,0.08,2022-08-04 00:00:00,https://www.genomeweb.com/business-news/10x-genomics-lays-approximately-100-employees#.YuxWk-zMKqV,242.0,United States
1860,1stdibs,New York City,Retail,70.0,0.17,2020-04-02 00:00:00,https://twitter.com/eringriffith/status/1246147841350762497,253.0,United States
690,2TM,Sao Paulo,Crypto,100.0,0.15,2022-09-01 00:00:00,https://finance.yahoo.com/news/second-round-layoffs-brazilian-crypto-212310521.html,250.0,Brazil
711,54gene,Washington D.C.,Healthcare,95.0,0.3,2022-08-29 00:00:00,https://techcrunch.com/2022/08/29/african-genomics-startup-54gene-lays-off-95-as-covid-testing-business-struggles/,44.0,United States
564,6sense,SF Bay Area,Sales,150.0,0.1,2022-10-12 00:00:00,https://www.moneycontrol.com/news/business/startup/ai-platform-6sense-lays-off-150-employees-globally-including-several-from-india-9327791.html,426.0,United States
14,8x8,SF Bay Area,Support,155.0,0.07,2023-01-18 00:00:00,https://www.channelfutures.com/business-models/8x8-to-reduce-7-of-workforce-significantly-impacting-channel-staff,253.0,United States
629,99,Sao Paulo,Transportation,75.0,0.02,2022-09-20 00:00:00,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/na-onda-dos-layoffs-99-demite-mais-de-75-colaboradores,d2c6d7e70027cb925695c2e6a25956d16jo4jtuj.html",244.0,Brazil
1021,Abra,SF Bay Area,Crypto,12.0,0.05,2022-06-30 00:00:00,https://www.theblock.co/post/155209/abra-becomes-latest-crypto-firm-to-cut-jobs,106.0,United States
639,Acast,Stockholm,Media,70.0,0.15,2022-09-15 00:00:00,https://www.bloomberg.com/news/newsletters/2022-09-15/swedish-podcast-company-acast-lays-off-15-of-its-staff,126.0,Sweden
1887,Acko,Mumbai,Finance,45.0,0.09,2020-04-01 00:00:00,https://entrackr.com/2020/04/exclusive-acko-insurance-layoff/,143.0,India
1902,AdRoll,Salt Lake City,Marketing,210.0,0.3,2020-03-31 00:00:00,https://www.adexchanger.com/online-advertising/nextroll-lays-off-30-institutes-20-paycuts/,89.0,United States
